EGT_ID,EGT_UID,ELCODE,TAXGROUP,G_NAME,G_COMNAME,ORIGIN,PRESENCE,COMMENTS,HUC8_OLD,HUC8_WBD,CONV_DATA,DUP_FLAG,PCTOVRLAP,CONF_SCORE,CONFMETHOD,CONF_COM,CONF_EO,REFCODE1,SHORT_CIT1,NEW_DATA,NEW_RECTOT,NEW_SRC,NEW_COM,REFCODE2,SHORT_CIT2,CURR_EO,EOpost1978,EO_noDate
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11110101,11110101,Y,,96.63980554,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112669,2-112669,ICMAL11670,Crayfishes,Faxonius virilis,Virile Crayfish,Native,Present,,11110101,11110101,Y,,96.63980554,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,24,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11110101,11110101,Y,,96.63980554,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,6,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
108941,2-108941,ICMAL14230,Crayfishes,Procambarus acutus,White River Crawfish,Native,Present,,11110101,11110101,Y,,96.63980554,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,4,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11110102,11110102,Y,,95.01089733,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,10,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112282,2-112282,ICMAL07840,Crayfishes,Cambarus aculabrum,Benton County Cave Crayfish,Native,Present,,11110103,11110103,Y,,97.76944754,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",,,,,,,,,
116696,2-116696,ICMAL11230,Crayfishes,Faxonius nana,Midget Crayfish,Native,Present,,11110103,11110103,Y,,97.76944754,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",Y,156,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119078,2-119078,ICMAL11240,Crayfishes,Faxonius neglectus,Ringed Crayfish,Native,Present,,11110103,11110103,Y,,97.76944754,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,497,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
120149,2-120149,ICMAL11520,Crayfishes,Faxonius meeki,Meek's Crayfish,Native,Present,,11110103,11110103,Y,,97.76944754,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,186,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
114962,2-114962,ICMAL07080,Crayfishes,Cambarus causeyi,Boston Mountains Crayfish,Native,Present,,11110201,11110201,Y,,96.51940239,Very High,Auto,,,A96ROB01EHUS,"Robison and Leeds, 1996",,,,,,,,,
114962,2-114962,ICMAL07080,Crayfishes,Cambarus causeyi,Boston Mountains Crayfish,Native,Present,,11110202,11110202,Y,,97.49070537,Very High,Auto,,,A96ROB01EHUS,"Robison and Leeds, 1996",,,,,,,,,
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11120202,11120202,Y,,93.48426643,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11120304,11120304,Y,,95.95813924,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,3,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11130101,11130101,Y,,95.33895367,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,6,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11130201,11130201,Y,,96.92293637,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,10,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11130201,11130201,Y,,96.92293637,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,2,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11130208,11130208,Y,,97.90737555,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,12,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
107398,2-107398,ICMAL14940,Crayfishes,Procambarus simulans,Southern Plains Crayfish,Native,Present,,11130208,11130208,Y,,97.90737555,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,1,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119078,2-119078,ICMAL11240,Crayfishes,Faxonius neglectus,Ringed Crayfish,Native,Present,,11140102,11140102,Y,,97.74416974,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,49,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
112669,2-112669,ICMAL11670,Crayfishes,Faxonius virilis,Virile Crayfish,Native,Present,,11140102,11140102,Y,,97.74416974,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,10,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119144,2-119144,ICMAL11380,Crayfishes,Faxonius difficilis,Painted Crayfish,Native,Present,,11140103,11140103,Y,,96.16627978,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,8,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
110459,2-110459,ICMAL11530,Crayfishes,Faxonius menae,Mena Crayfish,Native,Present,,11140105,11140105,Y,,97.3377872,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",Y,2,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
119424,2-119424,ICMAL14980,Crayfishes,Fallicambarus tenuis,Ouachita Mountain Crayfish,Native,Present,,11140105,11140105,Y,,97.3377872,Very High,Auto,,,A69REI01EHUS,"Reimer, 1969",,,,,,,,,
112669,2-112669,ICMAL11670,Crayfishes,Faxonius virilis,Virile Crayfish,Native,Present,,11140105,11140105,Y,,97.3377872,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",,,,,,,,,
116061,2-116061,ICMAL11630,Crayfishes,Faxonius saxatilis,Kiamichi Crayfish,Native,Present,,11140105,11140105,Y,,97.3377872,Very High,Auto,,,B89HOB01EHUS,"Hobbs, 1989",Y,2,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
118054,2-118054,ICMAL11570,Crayfishes,Faxonius nais,Water Nymph Crayfish,Native,Present,,11140105,11140105,Y,,97.3377872,Very High,Auto,,,N07MJD01EHUS,"NatureServe, 2007",Y,2,INHS,,,"Illinois Natural History Survey (INHS), 2019",,,
